Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
B2,1,Infinity,-Infinity,Infinity
A2,2,-Infinity,-Infinity,Infinity
B2,3,-1,-Infinity,Infinity
A2,2,-1,-1,Infinity
B3,3,0,-1,Infinity
A2,2,0,0,Infinity
B4,3,0,0,Infinity
A2,2,0,0,Infinity
B2,1,0,-Infinity,0
A3,2,Infinity,-Infinity,0
A2,2,-Infinity,-Infinity,0
B2,3,-2,-Infinity,0
A2,2,-2,-2,0
B3,3,-1,-2,0
A2,2,-1,-1,0
B4,3,-1,-1,0
A2,2,-1,-1,0
A3,2,-1,-Infinity,-1
A4,2,-Infinity,-Infinity,-1
B3,3,0,-Infinity,-1
A4,2,0,-Infinity,-1
A3,2,-1,-Infinity,-1
B2,1,-1,-Infinity,-1
A4,2,-Infinity,-Infinity,-1
B3,3,1,-Infinity,-1
A4,2,1,-Infinity,-1
B2,1,-1,-Infinity,-1
root,0,-1,-1,Infinity
B3,1,-Infinity,-1,Infinity
B2,1,Infinity,-1,Infinity
A2,2,-Infinity,-1,Infinity
B2,3,0,-1,Infinity
A2,2,0,0,Infinity
B3,3,0,0,Infinity
A2,2,0,0,Infinity
B4,3,1,0,Infinity
A2,2,1,1,Infinity
B2,1,1,-1,1
A3,2,Infinity,-1,1
A2,2,-Infinity,-1,1
B2,3,-1,-1,1
A2,2,-1,-1,1
B3,3,-Infinity,-1,1
B2,3,1,-1,1
B3,3,1,-1,1
A2,2,1,-1,1
A3,2,1,-1,1
A4,2,-Infinity,-1,1
B3,3,0,-1,1
A4,2,0,0,1
B4,3,1,0,1
A4,2,1,0,1
A3,2,1,-1,1
B2,1,1,-1,1
A4,2,-Infinity,-1,1
B3,3,1,-1,1
A4,2,1,-1,1
B2,1,1,-1,1
B3,1,1,1,Infinity
B4,1,Infinity,1,Infinity
A2,2,-Infinity,1,Infinity
B2,3,-Infinity,1,Infinity
B3,3,2,1,Infinity
B2,3,2,2,Infinity
B4,3,-Infinity,2,Infinity
B3,3,4,2,Infinity
B4,3,4,4,Infinity
B2,3,4,4,Infinity
A2,2,4,4,Infinity
B4,1,4,1,4
A3,2,-Infinity,1,4
B2,3,-Infinity,1,4
B3,3,2,1,4
B2,3,2,2,4
B4,3,-Infinity,2,4
B3,3,4,2,4
B4,3,4,2,4
B2,3,4,2,4
A3,2,4,1,4
B4,1,4,1,4
A4,2,Infinity,1,4
A2,2,-Infinity,1,4
B2,3,-Infinity,1,4
B3,3,-Infinity,1,4
B4,3,-2,1,4
B3,3,-2,1,4
B2,3,-2,1,4
B4,3,-Infinity,1,4
B3,3,-Infinity,1,4
B4,3,0,1,4
B3,3,0,1,4
B4,3,0,1,4
B2,3,0,1,4
A2,2,0,1,4
B3,3,1,1,4
A2,2,1,1,4
A4,2,1,1,4
B4,1,1,1,4
B3,1,1,1,Infinity
root,0,1,1,Infinity
B4,1,Infinity,1,Infinity
A2,2,-Infinity,1,Infinity
B2,3,-Infinity,1,Infinity
B3,3,2,1,Infinity
B2,3,2,2,Infinity
B4,3,-Infinity,2,Infinity
B3,3,3,2,Infinity
B4,3,3,3,Infinity
B2,3,3,3,Infinity
A2,2,3,3,Infinity
B3,3,-Infinity,3,Infinity
B2,3,-Infinity,3,Infinity
B3,3,2,3,Infinity
B2,3,2,3,Infinity
B4,3,3,3,Infinity
B2,3,3,3,Infinity
B3,3,3,3,Infinity
B4,3,-Infinity,3,Infinity
B2,3,-Infinity,3,Infinity
B3,3,3,3,Infinity
B2,3,3,3,Infinity
B4,3,-Infinity,3,Infinity
B3,3,6,3,Infinity
B4,3,6,6,Infinity
B2,3,6,6,Infinity
B4,3,6,6,Infinity
B3,3,6,6,Infinity
A2,2,6,6,Infinity
B4,1,6,1,6
A3,2,Infinity,1,6
A2,2,-Infinity,1,6
B2,3,-Infinity,1,6
B3,3,1,1,6
B2,3,1,1,6
B4,3,-Infinity,1,6
B3,3,2,1,6
B4,3,2,2,6
B2,3,2,2,6
A2,2,2,2,6
B3,3,0,2,6
A2,2,2,2,6
A3,2,2,1,2
A4,2,Infinity,1,2
A2,2,-Infinity,1,2
B2,3,-Infinity,1,2
B3,3,0,1,2
B2,3,0,1,2
B4,3,0,1,2
B2,3,0,1,2
A2,2,0,1,2
B3,3,-1,1,2
A2,2,0,1,2
B4,3,-Infinity,1,2
B2,3,-Infinity,1,2
B3,3,1,1,2
B2,3,1,1,2
B4,3,-Infinity,1,2
B3,3,2,1,2
B4,3,2,1,2
B2,3,2,1,2
B4,3,2,1,2
A2,2,2,1,2
A4,2,2,1,2
A3,2,-Infinity,1,2
B2,3,0,1,2
A3,2,0,1,2
B3,3,-Infinity,1,2
B2,3,0,1,2
B3,3,0,1,2
B4,3,-Infinity,1,2
B2,3,2,1,2
B4,3,2,1,2
B3,3,2,1,2
A3,2,2,1,2
A4,2,2,1,2
A3,2,2,1,2
B4,1,2,1,2
A4,2,Infinity,1,2
A2,2,-Infinity,1,2
B2,3,-Infinity,1,2
B3,3,1,1,2
B2,3,1,1,2
B4,3,-Infinity,1,2
B3,3,2,1,2
B4,3,2,1,2
B2,3,2,1,2
A2,2,2,1,2
A4,2,2,1,2
A3,2,-Infinity,1,2
B2,3,-Infinity,1,2
B3,3,1,1,2
B2,3,1,1,2
B4,3,-Infinity,1,2
B3,3,2,1,2
B4,3,2,1,2
B2,3,2,1,2
A3,2,2,1,2
A4,2,2,1,2
B4,1,2,1,2
root,0,2,2,Infinity
