Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A3,4,Infinity
A2,4,Infinity
A4,4,-4
A2,4,-4
A3,4,-4
A4,4,-2
A3,4,-4
B2,3,-4
A4,4,-2
B2,3,-4
A2,2,-4
B3,3,Infinity
A3,4,Infinity
A2,4,Infinity
A4,4,Infinity
A2,4,Infinity
A3,4,-2
A2,4,-2
A4,4,-2
A3,4,-3
A4,4,-3
A2,4,-3
A3,4,-3
A4,4,Infinity
A2,4,-3
A4,4,-3
A3,4,-2
A4,4,-3
A3,4,-3
B3,3,-3
A4,4,Infinity
A2,4,Infinity
A3,4,-3
A2,4,-3
A4,4,-3
A3,4,-2
A4,4,-3
B3,3,-3
A2,2,-3
B4,3,Infinity
A3,4,-1
B4,3,-1
A4,4,Infinity
A2,4,Infinity
A3,4,-3
A2,4,-3
A4,4,-3
A3,4,-2
A4,4,-3
B4,3,-3
A2,2,-3
B2,1,-3
A3,2,Infinity
A2,2,-Infinity
B2,3,Infinity
A4,4,-3
B2,3,-3
A2,2,-3
B3,3,Infinity
A3,4,-3
B3,3,-3
A4,4,Infinity
A2,4,Infinity
A3,4,Infinity
A2,4,0
A3,4,0
A2,4,0
A4,4,0
A3,4,Infinity
A2,4,2
A3,4,2
A4,4,0
B3,3,-3
A2,2,-3
B4,3,Infinity
A3,4,-3
B4,3,-3
A4,4,Infinity
A2,4,Infinity
A3,4,Infinity
A2,4,0
A3,4,0
A2,4,0
A4,4,0
A3,4,Infinity
A2,4,2
A3,4,2
A4,4,0
B4,3,-3
A2,2,-3
A3,2,-3
A4,2,-Infinity
B3,3,Infinity
A2,4,-1
B3,3,-1
A3,4,0
B3,3,-1
A4,4,0
B3,3,-1
A4,2,-1
B4,3,Infinity
A2,4,-1
B4,3,-1
A3,4,Infinity
A2,4,-2
A3,4,-2
A4,4,-10
A3,4,-10
B4,3,-10
A4,4,0
B4,3,-10
A4,2,-1
A3,2,-3
B2,1,-3
A4,2,-Infinity
B3,3,Infinity
A2,4,0
B3,3,0
A3,4,0
B3,3,0
A4,4,1
B3,3,0
A4,2,0
B4,3,Infinity
A2,4,0
B4,3,0
A3,4,0
B4,3,0
A4,4,1
B4,3,0
A4,2,0
B2,1,-3
root,0,-3
B3,1,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,Infinity
A3,4,Infinity
A2,4,Infinity
